(41.110958, -72.361282)
(40.93816, -73.053894)
(40.696751, -73.286324)
(40.947533, -73.060081)
(40.879513, -73.417442)
(40.725014, -73.240372)
(40.933643, -72.674278)
(40.867531, -73.220222)
(41.717999, -74.727798)
(42.469826, -76.536896)
(41.922276, -73.999237)
(41.92643, -73.995453)
(43.30735, -73.645996)
(43.059728, -77.102244)
(41.291512, -73.893341)
(41.026333, -73.769585)
(40.912476, -73.840004)
(40.913021, -73.787086)
(40.968262, -73.885033)
(40.929512, -73.896957)
(41.196774, -73.72451)
(40.941673, -73.836334)
(41.107639, -73.859665)
(41.08773, -73.803993)
(42.753513, -78.132454)
(40.857388, -73.846741)
(40.894569, -73.86142)
(40.879951, -73.880562)
(40.817661, -73.92421)
(40.853909, -73.891014)
(40.843609, -73.911545)
(40.840431, -73.848244)
(40.880512, -73.881538)
(40.655066, -73.912579)
(40.689842, -73.977455)
(40.613419, -73.948967)
(40.58662, -73.965797)
(40.655823, -73.944099)
(40.690971, -73.99781)
(40.646591, -74.020439)
(40.639423, -73.99839)
(40.668087, -73.978905)
(40.67794, -73.937515)
(40.659435, -73.934036)
(40.704517, -73.91774)
(40.654518, -73.945045)
(40.617954, -73.94323)
(40.710426, -74.005486)
(40.739605, -73.976509)
(40.732666, -73.981598)
(40.81435, -73.940506)
(40.734127, -73.98307)
(40.765381, -73.954185)
(40.773907, -73.960632)
(40.784775, -73.94368)
(40.790482, -73.953766)
(40.76408, -73.954926)
(40.742874, -73.974159)
(40.841415, -73.940704)
(40.770092, -73.987785)
(40.805912, -73.961639)
(40.74432, -73.885719)
(40.755531, -73.815475)
(40.701412, -73.816299)
(40.753349, -73.706848)
(40.71722, -73.803581)
(40.733735, -73.872165)
(40.598637, -73.752769)
(40.747517, -73.826035)
(40.728745, -73.851036)
(40.768269, -73.924461)
(40.700535, -73.941711)
(40.635807, -74.106674)
(40.584141, -74.086998)
(40.705085, -73.804245)
(40.849575, -73.845055)
(42.991219, -78.72982)
(40.872475, -73.912773)
